culture	rendement
L	26
L	44
L	31
L	41
L	33
L	17
L	39
L	47
L	26
L	61
L	50
L	27
L	25
L	17
L	31
L	34
L	41
L	28
L	24
L	13
L	11
L	17
L	23
L	55
L	32
L	24
L	21
L	15
L	33
L	32
L	61
L	36
L	17
L	53
L	44
L	23
L	21
L	31
L	34
L	26
L	24
L	28
L	31
L	8
L	27
L	55
L	28
L	55
L	29
L	36
L	39
L	23
L	47
L	29
L	55
L	19
L	20
L	11
L	49
L	28
L	39
L	18
L	22
L	54
L	18
L	51
L	27
L	34
L	45
L	51
L	59
L	41
L	36
L	52
NL	10
NL	19
NL	20
NL	29
NL	23
NL	24
NL	42
NL	29
NL	14
NL	37
NL	36
NL	46
NL	20
NL	23
NL	18
NL	25
NL	32
NL	43
NL	31
NL	20
NL	20
NL	37
NL	35
NL	14
NL	32
NL	9
NL	28
NL	55
NL	30
NL	21
NL	30
NL	43
NL	59
NL	53
NL	23
NL	29
NL	37
NL	29
NL	33
NL	43
NL	16
NL	27
NL	28
NL	33
NL	21
NL	18
NL	20
NL	27
NL	41
NL	55
NL	28
NL	37
NL	16
NL	17
NL	17
NL	14
NL	18
NL	15
NL	22
NL	32
NL	34
NL	30
NL	22
NL	48
NL	31
NL	17
NL	32
NL	48
NL	47
NL	46
NL	23
NL	15
NL	48
NL	46
