trait;hori;biomm;mineralC;mineralN
LT;0-7;287;287,5;8,56
LT;0-7;269;267,4;7,96
LT;0-7;280;313,5;9,41
LT;0-7;242;281,7;6,34
LT;0-7;317;386,9;10,96
LT;0-7;308;370,0;9,46
LT;0-7;337;372,2;9,36
LT;0-7;317;418,4;13,91
LT;0-7;255;214,0;3,70
LT;0-7;201;308,1;3,80
LT;0-7;217;283,1;9,34
LT;0-7;235;234,4;7,78
LT;0-7;294;269,0;9,63
LT;0-7;310;324,7;10,25
LT;0-7;263;309,3;10,84
LT;0-7;309;250,6;9,60
LT;7-18;282;303,4;5,74
LT;7-18;292;388,5;14,22
LT;7-18;293;399,9;13,75
LT;7-18;289;363,9;2,10
LT;7-18;241;301,0;13,03
LT;7-18;301;299,1;14,08
LT;7-18;288;295,0;13,35
LT;7-18;277;403,9;13,17
LT;7-18;253;259,7;7,61
LT;7-18;240;286,9;7,45
LT;7-18;255;250,1;7,97
LT;7-18;291;283,6;7,87
LT;7-18;294;254,4;12,49
LT;7-18;292;286,7;12,49
LT;7-18;273;302,9;12,13
LT;7-18;286;320,3;14,31
LT;18-30;253;362,3;7,67
LT;18-30;259;345,0;10,38
LT;18-30;255;353,7;12,58
LT;18-30;246;353,7;18,03
LT;18-30;315;269,3;12,36
LT;18-30;302;305,2;14,12
LT;18-30;337;361,0;11,43
LT;18-30;305;244,6;10,38
LT;18-30;268;324,0;10,63
LT;18-30;249;319,2;10,99
LT;18-30;275;336,3;11,97
LT;18-30;204;316,5;7,77
LT;18-30;346;261,7;12,73
LT;18-30;343;264,4;12,83
LT;18-30;306;287,8;10,62
LT;18-30;273;307,2;14,45
TR;0-7;340;502,3;21,64
TR;0-7;395;553,4;22,16
TR;0-7;420;510,9;19,19
TR;0-7;409;442,5;13,63
TR;0-7;498;442,8;23,47
TR;0-7;484;527,9;29,58
TR;0-7;486;527,1;21,91
TR;0-7;426;621,4;22,84
TR;0-7;420;381,9;16,04
TR;0-7;483;454,6;16,06
TR;0-7;475;444,0;22,97
TR;0-7;430;495,4;10,62
TR;0-7;453;525,6;19,28
TR;0-7;443;512,5;20,16
TR;0-7;451;439,9;21,71
TR;0-7;465;492,7;21,40
TR;7-18;426;640,4;20,05
TR;7-18;442;603,9;26,19
TR;7-18;212;556,1;14,63
TR;7-18;243;424,0;19,75
TR;7-18;305;292,6;11,99
TR;7-18;289;309,1;13,32
TR;7-18;300;303,7;9,71
TR;7-18;338;330,8;9,14
TR;7-18;292;300,2;10,68
TR;7-18;298;406,9;11,25
TR;7-18;233;328,7;13,49
TR;7-18;344;279,1;12,33
TR;7-18;409;230,4;8,02
TR;7-18;383;242,0;7,65
TR;7-18;298;302,2;8,84
TR;7-18;266;434,1;7,65
TR;18-30;222;259,6;4,60
TR;18-30;168;216,7;5,48
TR;18-30;177;191,5;5,48
TR;18-30;234;287,8;6,36
TR;18-30;195;237,1;8,00
TR;18-30;192;224,0;6,97
TR;18-30;188;240,0;7,95
TR;18-30;213;222,1;8,16
TR;18-30;121;236,1;5,78
TR;18-30;156;221,0;4,18
TR;18-30;185;215,5;3,25
TR;18-30;161;224,2;5,36
TR;18-30;244;210,6;6,34
TR;18-30;213;237,8;5,09
TR;18-30;241;239,7;6,24
TR;18-30;205;229,4;7,94
