modèle	prix	cylindree	puissanc	poids	consommation
"Daihatsu Cuore"	11600,00	846,00	32,00	650,00	5,70
"Suzuki Swift 1.0 GL"	12490,00	993,00	39,00	790,00	5,80
"Fiat Panda Mambo L"	10450,00	899,00	29,00	730,00	6,10
"VW Polo 1.4 60"	17140,00	1390,00	44,00	955,00	6,50
"Opel Corsa 1.2i Eco"	14825,00	1195,00	33,00	895,00	6,80
"Subaru Vivio 4WD"	13730,00	658,00	32,00	740,00	6,80
"Toyota Corolla"	19490,00	1331,00	55,00	1010,00	7,10
"Opel Astra 1.6i 16V"	25000,00	1597,00	74,00	1080,00	7,40
"Peugeot 306 XS 108"	22350,00	1761,00	74,00	1100,00	9,00
"Renault Safrane 2.2"	36600,00	2165,00	101,00	1500,00	11,70
"Seat Ibiza 2.0 GTI"	22500,00	1983,00	85,00	1075,00	9,50
"VW Golt 2.0 GTI"	31580,00	1984,00	85,00	1155,00	9,50
"Citroen ZX Volcane"	28750,00	1998,00	89,00	1140,00	8,80
"Fiat Tempra 1.6 Lib"	22600,00	1580,00	65,00	1080,00	9,30
"Fort Escort 1.4i PT"	20300,00	1390,00	54,00	1110,00	8,60
"Honda Civic Joker 1"	19900,00	1396,00	66,00	1140,00	7,70
"Volvo 850 2.5"	39800,00	2435,00	106,00	1370,00	10,80
"Ford Fiesta 1.2 Zet"	19740,00	1242,00	55,00	940,00	6,60
"Hyundai Sonata 3000"	38990,00	2972,00	107,00	1400,00	11,70
"Lancia K 3.0 LS"	50800,00	2958,00	150,00	1550,00	11,90
"Mazda Hachtback V"	36200,00	2497,00	122,00	1330,00	10,80
"Opel Omega 2.5i V6"	47700,00	2496,00	125,00	1670,00	11,30
"Peugeot 806 2.0"	36950,00	1998,00	89,00	1560,00	10,80
"Nissan Primera 2.0"	26950,00	1997,00	92,00	1240,00	9,20
"Seat Alhambra 2.0"	36400,00	1984,00	85,00	1635,00	11,60
"Toyota Previa salon"	50900,00	2438,00	97,00	1800,00	12,80
"Volvo 960 Kombi aut"	49300,00	2473,00	125,00	1570,00	12,70
